NAME                                    VERSION       TYPE           
alipay-sdk-java                         4.38.61.ALL   java-archive    
aliyun-sdk-oss                          2.5.0         java-archive    
druid-spring-boot-starter               1.2.14        java-archive    
hutool-all                              5.8.9         java-archive    
jaxb-api                                2.3.1         java-archive    
jjwt                                    0.9.1         java-archive    
logstash-logback-encoder                7.2           java-archive    
lombok                                  UNKNOWN       java-archive    
mall                                    1.0-SNAPSHOT  java-archive    
mall-admin                              1.0-SNAPSHOT  java-archive    
mall-common                             1.0-SNAPSHOT  java-archive    
mall-demo                               1.0-SNAPSHOT  java-archive    
mall-mbg                                1.0-SNAPSHOT  java-archive    
mall-portal                             1.0-SNAPSHOT  java-archive    
mall-search                             1.0-SNAPSHOT  java-archive    
mall-security                           1.0-SNAPSHOT  java-archive    
minio                                   8.4.5         java-archive    
mybatis-generator-core                  1.4.1         java-archive    
mysql-connector-java                    8.0.29        java-archive    
pagehelper                              5.3.2         java-archive    
pagehelper-spring-boot-starter          1.4.5         java-archive    
spring-boot-configuration-processor     UNKNOWN       java-archive    
spring-boot-starter-actuator            UNKNOWN       java-archive    
spring-boot-starter-amqp                UNKNOWN       java-archive    
spring-boot-starter-aop                 UNKNOWN       java-archive    
spring-boot-starter-data-elasticsearch  UNKNOWN       java-archive    
spring-boot-starter-data-mongodb        UNKNOWN       java-archive    
spring-boot-starter-data-redis          UNKNOWN       java-archive    
spring-boot-starter-security            UNKNOWN       java-archive    
spring-boot-starter-test                UNKNOWN       java-archive    
spring-boot-starter-thymeleaf           UNKNOWN       java-archive    
spring-boot-starter-validation          UNKNOWN       java-archive    
spring-boot-starter-web                 UNKNOWN       java-archive    
spring-data-commons                     2.7.5         java-archive    
springfox-boot-starter                  3.0.0         java-archive
